CountryCode;ProviderName;ProductName;LoanType;Period;Rate;Coverage;Check Date;ValidSinceDate;NHG
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;9 jaar;2.35%;67.5%-90.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;9 jaar;2.65%;90.0%-100.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;10 jaar;1.95%;0%-67.5%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;10 jaar;2.35%;67.5%-90.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;10 jaar;2.65%;90.0%-100.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;11 jaar;2.15%;0%-67.5%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;11 jaar;2.55%;67.5%-90.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;11 jaar;2.85%;90.0%-100.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;12 jaar;2.25%;0%-67.5%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;12 jaar;2.65%;67.5%-90.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;12 jaar;2.95%;90.0%-100.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;13 jaar;2.35%;0%-67.5%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;13 jaar;2.75%;67.5%-90.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;13 jaar;3.05%;90.0%-100.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;14 jaar;2.45%;0%-67.5%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;14 jaar;2.85%;67.5%-90.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;14 jaar;3.15%;90.0%-100.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;15 jaar;2.55%;0%-67.5%;2017-10-14;2017-09-18;N;
